date,open,high,low,close,volume,foreign_ownership,code,name,source
2024-01-22,2489.57,2490.69,2464.35,2464.35,388046,0.0,KOSPI,KOSPI,naver-finance
2024-01-23,2478.32,2482.84,2464.24,2478.61,472284,0.0,KOSPI,KOSPI,naver-finance
2024-01-24,2476.22,2476.22,2454.34,2469.69,395464,0.0,KOSPI,KOSPI,naver-finance
2024-01-25,2467.73,2474.01,2452.36,2470.34,357234,0.0,KOSPI,KOSPI,naver-finance
2024-01-26,2458.05,2502.61,2453.45,2478.56,292662,0.0,KOSPI,KOSPI,naver-finance
2024-01-29,2490.93,2516.92,2483.81,2500.65,427440,0.0,KOSPI,KOSPI,naver-finance
2024-01-30,2523.68,2528.54,2498.81,2498.81,481809,0.0,KOSPI,KOSPI,naver-finance
2024-01-31,2487.9,2502.45,2486.97,2497.09,454574,0.0,KOSPI,KOSPI,naver-finance
2024-02-01,2491.93,2542.46,2491.93,2542.46,751075,0.0,KOSPI,KOSPI,naver-finance
2024-02-02,2559.4,2615.34,2559.39,2615.31,596121,0.0,KOSPI,KOSPI,naver-finance
2024-02-05,2612.77,2612.77,2562.5,2591.31,511678,0.0,KOSPI,KOSPI,naver-finance
2024-02-06,2584.2,2599.18,2563.87,2576.2,411618,0.0,KOSPI,KOSPI,naver-finance
2024-02-07,2592.59,2625.24,2588.09,2609.58,518182,0.0,KOSPI,KOSPI,naver-finance
2024-02-08,2620.26,2629.51,2610.21,2620.32,430009,0.0,KOSPI,KOSPI,naver-finance
2024-02-13,2644.17,2656.87,2640.96,2649.64,559385,0.0,KOSPI,KOSPI,naver-finance
2024-02-14,2609.6,2627.31,2601.99,2620.42,543525,0.0,KOSPI,KOSPI,naver-finance
2024-02-15,2643.81,2643.86,2613.8,2613.8,621363,0.0,KOSPI,KOSPI,naver-finance
2024-02-16,2635.63,2648.76,2625.01,2648.76,593842,0.0,KOSPI,KOSPI,naver-finance
2024-02-19,2653.12,2683.39,2653.12,2680.26,422699,0.0,KOSPI,KOSPI,naver-finance
2024-02-20,2671.55,2673.84,2643.93,2657.79,612668,0.0,KOSPI,KOSPI,naver-finance
2024-02-21,2656.92,2670.95,2644.04,2653.31,562144,0.0,KOSPI,KOSPI,naver-finance
2024-02-22,2671.69,2671.69,2653.99,2664.27,456397,0.0,KOSPI,KOSPI,naver-finance
2024-02-23,2681.03,2694.8,2665.21,2667.7,415376,0.0,KOSPI,KOSPI,naver-finance
2024-02-26,2657.35,2659.6,2629.78,2647.08,531661,0.0,KOSPI,KOSPI,naver-finance
2024-02-27,2654.76,2654.76,2619.38,2625.05,574302,0.0,KOSPI,KOSPI,naver-finance
2024-02-28,2629.11,2657.32,2623.15,2652.29,421553,0.0,KOSPI,KOSPI,naver-finance
2024-02-29,2643.48,2647.56,2628.62,2642.36,496064,0.0,KOSPI,KOSPI,naver-finance
2024-03-04,2664.52,2682.8,2662.32,2674.27,404014,0.0,KOSPI,KOSPI,naver-finance
2024-03-05,2660.8,2684.83,2649.35,2649.4,457237,0.0,KOSPI,KOSPI,naver-finance
2024-03-06,2638.84,2649.78,2630.16,2641.49,378994,0.0,KOSPI,KOSPI,naver-finance
2024-03-07,2653.98,2660.26,2633.57,2647.62,462911,0.0,KOSPI,KOSPI,naver-finance
2024-03-08,2676.79,2688.0,2668.38,2680.35,454260,0.0,KOSPI,KOSPI,naver-finance
2024-03-11,2665.58,2677.21,2658.74,2659.84,391385,0.0,KOSPI,KOSPI,naver-finance
2024-03-12,2673.47,2686.14,2659.72,2681.81,403969,0.0,KOSPI,KOSPI,naver-finance
2024-03-13,2694.71,2701.45,2679.54,2693.57,498760,0.0,KOSPI,KOSPI,naver-finance
2024-03-14,2698.37,2718.76,2696.31,2718.76,609288,0.0,KOSPI,KOSPI,naver-finance
2024-03-15,2701.91,2705.59,2666.84,2666.84,584948,0.0,KOSPI,KOSPI,naver-finance
2024-03-18,2678.52,2688.07,2665.28,2685.84,408182,0.0,KOSPI,KOSPI,naver-finance
2024-03-19,2673.57,2673.57,2645.14,2656.17,695866,0.0,KOSPI,KOSPI,naver-finance
2024-03-20,2680.7,2692.52,2674.09,2690.14,720452,0.0,KOSPI,KOSPI,naver-finance
2024-03-21,2731.18,2755.45,2724.25,2754.86,825227,0.0,KOSPI,KOSPI,naver-finance
2024-03-22,2751.15,2763.06,2738.18,2748.56,509545,0.0,KOSPI,KOSPI,naver-finance
2024-03-25,2756.59,2763.63,2731.7,2737.57,489620,0.0,KOSPI,KOSPI,naver-finance
2024-03-26,2756.42,2779.4,2752.27,2757.09,448301,0.0,KOSPI,KOSPI,naver-finance
2024-03-27,2745.0,2762.03,2745.0,2755.11,510644,0.0,KOSPI,KOSPI,naver-finance
2024-03-28,2753.22,2756.86,2742.68,2745.82,419278,0.0,KOSPI,KOSPI,naver-finance
2024-03-29,2757.27,2757.55,2739.12,2746.63,495496,0.0,KOSPI,KOSPI,naver-finance
2024-04-01,2766.24,2769.87,2747.4,2747.86,397601,0.0,KOSPI,KOSPI,naver-finance
2024-04-02,2744.15,2760.33,2737.19,2753.16,630393,0.0,KOSPI,KOSPI,naver-finance
2024-04-03,2730.68,2732.29,2706.97,2706.97,640806,0.0,KOSPI,KOSPI,naver-finance
2024-04-04,2738.24,2746.39,2727.1,2742.0,477953,0.0,KOSPI,KOSPI,naver-finance
2024-04-05,2713.96,2730.47,2705.31,2714.21,621031,0.0,KOSPI,KOSPI,naver-finance
2024-04-08,2718.76,2725.58,2706.74,2717.65,620653,0.0,KOSPI,KOSPI,naver-finance
2024-04-09,2733.23,2741.23,2703.96,2705.16,470184,0.0,KOSPI,KOSPI,naver-finance
2024-04-11,2665.4,2718.07,2661.92,2706.96,561333,0.0,KOSPI,KOSPI,naver-finance
2024-04-12,2710.89,2712.45,2678.21,2681.82,514575,0.0,KOSPI,KOSPI,naver-finance
2024-04-15,2661.36,2673.26,2641.16,2670.43,561950,0.0,KOSPI,KOSPI,naver-finance
2024-04-16,2644.17,2647.6,2601.45,2609.63,570212,0.0,KOSPI,KOSPI,naver-finance
2024-04-17,2619.15,2626.63,2584.18,2584.18,414348,0.0,KOSPI,KOSPI,naver-finance
2024-04-18,2595.46,2642.03,2593.26,2634.7,478786,0.0,KOSPI,KOSPI,naver-finance
2024-04-19,2600.69,2609.9,2553.55,2591.86,809473,0.0,KOSPI,KOSPI,naver-finance
2024-04-22,2615.72,2629.44,2604.37,2629.44,401892,0.0,KOSPI,KOSPI,naver-finance
2024-04-23,2632.15,2641.78,2619.72,2623.02,430276,0.0,KOSPI,KOSPI,naver-finance
2024-04-24,2662.84,2677.85,2662.84,2675.75,325740,0.0,KOSPI,KOSPI,naver-finance
2024-04-25,2646.8,2656.51,2628.62,2628.62,334062,0.0,KOSPI,KOSPI,naver-finance
2024-04-26,2650.94,2662.1,2641.35,2656.33,450521,0.0,KOSPI,KOSPI,naver-finance
2024-04-29,2675.46,2687.44,2665.21,2687.44,470546,0.0,KOSPI,KOSPI,naver-finance
2024-04-30,2693.22,2710.23,2687.29,2692.06,460084,0.0,KOSPI,KOSPI,naver-finance
2024-05-02,2679.04,2692.47,2678.84,2683.65,351087,0.0,KOSPI,KOSPI,naver-finance
2024-05-03,2704.31,2705.26,2676.63,2676.63,338612,0.0,KOSPI,KOSPI,naver-finance
2024-05-07,2718.17,2734.36,2716.62,2734.36,532203,0.0,KOSPI,KOSPI,naver-finance
2024-05-08,2732.11,2745.05,2727.93,2745.05,436315,0.0,KOSPI,KOSPI,naver-finance
2024-05-09,2743.29,2749.14,2710.25,2712.14,423811,0.0,KOSPI,KOSPI,naver-finance
2024-05-10,2737.95,2743.58,2723.21,2727.63,586133,0.0,KOSPI,KOSPI,naver-finance
2024-05-13,2735.2,2738.38,2713.92,2727.21,625278,0.0,KOSPI,KOSPI,naver-finance
2024-05-14,2732.98,2735.82,2722.74,2730.34,443296,0.0,KOSPI,KOSPI,naver-finance
2024-05-16,2770.27,2773.46,2748.22,2753.0,521841,0.0,KOSPI,KOSPI,naver-finance
2024-05-17,2751.47,2752.17,2724.62,2724.62,575936,0.0,KOSPI,KOSPI,naver-finance
2024-05-20,2741.24,2756.41,2734.64,2742.14,582071,0.0,KOSPI,KOSPI,naver-finance
2024-05-21,2733.03,2734.48,2719.74,2724.18,560819,0.0,KOSPI,KOSPI,naver-finance
2024-05-22,2723.46,2733.07,2707.87,2723.46,484724,0.0,KOSPI,KOSPI,naver-finance
2024-05-23,2719.03,2734.27,2704.0,2721.81,428079,0.0,KOSPI,KOSPI,naver-finance
2024-05-24,2693.65,2696.99,2681.17,2687.6,501639,0.0,KOSPI,KOSPI,naver-finance
2024-05-27,2697.16,2725.08,2693.66,2722.99,556710,0.0,KOSPI,KOSPI,naver-finance
2024-05-28,2715.52,2730.12,2714.34,2722.85,440957,0.0,KOSPI,KOSPI,naver-finance
2024-05-29,2719.56,2721.63,2677.07,2677.3,438981,0.0,KOSPI,KOSPI,naver-finance
2024-05-30,2666.63,2666.63,2635.44,2635.44,372742,0.0,KOSPI,KOSPI,naver-finance
2024-05-31,2657.87,2664.48,2635.77,2636.52,613718,0.0,KOSPI,KOSPI,naver-finance
2024-06-03,2657.81,2690.73,2657.81,2682.52,782329,0.0,KOSPI,KOSPI,naver-finance
2024-06-04,2668.73,2679.47,2659.43,2662.1,773460,0.0,KOSPI,KOSPI,naver-finance
2024-06-05,2681.11,2697.43,2667.63,2689.5,881481,0.0,KOSPI,KOSPI,naver-finance
2024-06-07,2718.25,2729.63,2705.23,2722.67,783871,0.0,KOSPI,KOSPI,naver-finance
2024-06-10,2698.71,2718.89,2689.19,2701.17,506892,0.0,KOSPI,KOSPI,naver-finance
2024-06-11,2716.72,2718.88,2702.17,2705.32,558893,0.0,KOSPI,KOSPI,naver-finance
2024-06-12,2709.65,2730.3,2707.44,2728.17,511009,0.0,KOSPI,KOSPI,naver-finance
2024-06-13,2764.18,2776.72,2752.61,2754.89,700027,0.0,KOSPI,KOSPI,naver-finance
2024-06-14,2759.22,2769.16,2750.86,2758.42,644979,0.0,KOSPI,KOSPI,naver-finance
2024-06-17,2754.83,2759.86,2741.03,2744.1,593985,0.0,KOSPI,KOSPI,naver-finance
2024-06-18,2765.7,2772.35,2759.03,2763.92,561975,0.0,KOSPI,KOSPI,naver-finance
